government,last_name,first_name,title,district,party,first_elected,next_election,url,,phone,street_address,street_address_cont,city,state,zip,email,twitter,facebook,description
Hamilton County,Steelman,Barry,"Criminal Court Judge, Division I",Division I,R,2006,2014,http://www.HamiltonTN.gov/Courts/CriminalClerk, ,209-7574,600 Market St.,102 Court Building,Chattanooga,TN,37402,,,,
Hamilton County,Stern,Rebecca,"Criminal Court Judge, Division II",Division II,R,1997,2014,http://www.HamiltonTN.gov/Courts/CriminalClerk, ,2097560,600 Market St.,102 Court Building,Chattanooga,TN,37402,,,,
Hamilton County,Poole,Don,"Criminal Court Judge, Division III",Division III,R,2006,2014,http://www.HamiltonTN.gov/Courts/CriminalClerk, ,209-7555,600 Market St.,102 Court Building,Chattanooga,TN,37402,,,,
Hamilton County,,,Juvenile Court Judge,,R,,2014,http://www.hamiltontn.gov/courts/juvenile, ,423-209-5107,1600 E. 3rd St.,,Chattanooga,TN,37404,,,,Retiring in April?
Hamilton County,Sell,Christie,"Sessions Court Judge, Division I",Division I,,,2014,http://www.hamiltontn.gov/courts/Sessions/default.aspx, ,423-209-7660,600 Market St.,Suite 203,Chattanooga,TN,37402,,,,
Hamilton County,Bales,David,"Sessions Court Judge, Division II",Division II,R,,2014,http://www.hamiltontn.gov/courts/Sessions/default.aspx, ,423-209-7660,600 Market St.,Suite 203,Chattanooga,TN,37402,davidb@hamiltontn.gov,,,
Hamilton County,Shattuck,Clarence,"Sessions Court Judge, Division III",Division III,,,2014,http://www.hamiltontn.gov/courts/Sessions/default.aspx, ,423-209-7660,600 Market St.,Suite 203,Chattanooga,TN,37402,,,,
Hamilton County,Statom,Lila,"Sessions Court Judge, Division IV",Division IV,,,,http://www.hamiltontn.gov/courts/Sessions/default.aspx, ,423-209-7660,600 Market St.,Suite 203,Chattanooga,TN,37402,,,,
Hamilton County,Starnes,Gary,"Sessions Court Judge, Division V",Division V,,,,http://www.hamiltontn.gov/courts/Sessions/default.aspx, ,423-209-7660,600 Market St.,Suite 203,Chattanooga,TN,37402,,,,
,,,,,,,,,,,,,,,,,,,
Hamilton County,Garth,Ardena,District Public Defender,,D,,2014,, ,423-634-6374,701 Broad St.,3rd Floor,Chattanooga,TN,37402,,,,
Hamilton County,Cox,Bill,District Attorney General,,R,,2014,http://www.chattanoogada.com, ,423-209-7400,600 Market St.,Suite 310,Chattanooga,TN,37402,bill.cox@hcdatn.org ,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
